\bscra	𝓪
\subsetneq	⊊
\ovhook	̉
\dagger	†
\:meat_on_bone:	🍖
\supsetdot	⪾
\frakf	𝔣
\bbf	𝕗
\:put_litter_in_its_place:	🚮
\itP	𝑃
\:u6307:	🈯
\:full_moon:	🌕
\:blue_car:	🚙
\:leo:	♌
\Sqcup	⩏
\isansa	𝘢
\:crossed_fingers:	🤞
\:pregnant_woman:	🤰
\DownRightTeeVector	⥟
\supsetapprox	⫊
\ttP	𝙿
\:b:	🅱
\allequal	≌
\bfV	𝐕
\del	∇
\bbC	ℂ
\female	♀
\:face_with_thermometer:	🤒
\bsansc	𝗰
\bfnabla	𝛁
\^T	ᵀ
\capdot	⩀
\ntrianglerighteq	⋭
\nni	∌
\:pensive:	😔
\:dolls:	🎎
\saturn	♄
\bsansBeta	𝝗
\curlyeqsucc	⋟
\:rage:	😡
\:dolphin:	🐬
\rdiagovfdiag	⤫
\mapsto	↦
\veemidvert	⩛
\:confounded:	😖
\maltese	✠
\leftouterjoin	⟕
\hslash	ℏ
\:satellite_antenna:	📡
\bbid	ⅆ
\nVleftarrow	⇺
\circleonrightarrow	⇴
\ttY	𝚈
\:factory:	🏭
\blockhalfshaded	▒
\brokenbar	¦
\blacksquare	■
\mdlgblkdiamond	◆
\taurus	♉
\bisansi	𝙞
\frakW	𝔚
\bbd	𝕕
\:ok_woman:	🙆
\bfq	𝐪
\conjquant	⨇
\4/5	⅘
\biPi	𝜫
\:wrench:	🔧
\bisanspi	𝞹
\:rice_scene:	🎑
\^8	⁸
\:heavy_dollar_sign:	💲
\:man_and_woman_holding_hands:	👫
\^p	ᵖ
\sum	∑
\:disguised_face:	🥸
\:chocolate_bar:	🍫
\:sob:	😭
\aquarius	♒
\sansS	𝖲
\:end:	🔚
\:tophat:	🎩
\uranus	♅
\biepsilon	𝝐
\isinvb	⋸
\oturnedcomma	̒
\bfvarepsilon	𝛆
\nbumpeq	≏̸
\dashv	⊣
\:wrestlers:	🤼
\tth	𝚑
\mdlgwhtdiamond	◇
\biZ	𝒁
\biGamma	𝜞
\bsansKappa	𝝟
\:cactus:	🌵
\:fallen_leaf:	🍂
\:oncoming_bus:	🚍
\gg	≫
\ngtrsim	≵
\_s	ₛ
\bfrakB	𝕭
\:adult:	🧑
\glj	⪤
\sqsupset	⊐
\frakt	𝔱
\diamond	⋄
\Lap	⧊
\:otter:	🦦
\otimesrhrim	⨵
\LeftUpTeeVector	⥠
\hexagon	⎔
\risingdotseq	≓
\RightUpTeeVector	⥜
\:sweat:	😓
\:bread:	🍞
\bfEpsilon	𝚬
\:pleading_face:	🥺
\oe	œ
\forall	∀
\:green_apple:	🍏
\bbl	𝕝
\ttu	𝚞
\bfDigamma	𝟊
\:grin:	😁
\rightarrowtriangle	⇾
\:boomerang:	🪃
\leftarrowx	⬾
\:motor_scooter:	🛵
\bba	𝕒
\supset	⊃
\supsim	⫈
\:mans_shoe:	👞
\equiv	≡
\sharp	♯
\:clock730:	🕢
\_2	₂
\bbo	𝕠
\epsilon	ϵ
\bfMu	𝚳
\nrleg	ƞ
\dualmap	⧟
\bigotimes	⨂
\bsansn	𝗻
\vrecto	▯
\isinE	⋹
\:tennis:	🎾
\whitearrowupfrombar	⇪
\vrectangleblack	▮
\:fondue:	🫕
\bsansO	𝗢
\scrQ	𝒬
\eqslantgtr	⪖
\strike	̶
\scpolint	⨓
\sansK	𝖪
\:older_woman:	👵
\nwarrow	↖
\bfzero	𝟎
\_p	ₚ
\scry	𝓎
\:mrs_claus:	🤶
\bfvartheta	𝛝
\:upside_down_face:	🙃
\leqq	≦
\lfloor	⌊
\:onion:	🧅
\:bear:	🐻
\:tomato:	🍅
\urtriangle	◹
\sphericalangle	∢
\ttm	𝚖
\biP	𝑷
\rLarr	⥄
\boxtimes	⊠
\:i_love_you_hand_sign:	🤟
\_i	ᵢ
\dottedcircle	◌
\:new_moon:	🌑
\bfl	𝐥
\gtquest	⩼
\:seat:	💺
\^r	ʳ
\wedgeodot	⩑
\:face_with_cowboy_hat:	🤠
\interleave	⫴
\:sake:	🍶
\:u6e80:	🈵
\complement	∁
\biL	𝑳
\ttw	𝚠
\biOmega	𝜴
\simless	⪝
\:burrito:	🌯
\sqsubsetneq	⋤
\Ddownarrow	⤋
\sansx	𝗑
\_rho	ᵨ
\itIota	𝛪
\:ice_cube:	🧊
\upMu	Μ
\:middle_finger:	🖕
\nVrightarrow	⇻
\bscrU	𝓤
\:volleyball:	🏐
\isansq	𝘲
\:question:	❓
\minusfdots	⨫
\bfF	𝐅
\diceiv	⚃
\Eta	Η
\ll	≪
\vartriangle	▵
\bfrakv	𝖛
\Leftarrow	⇐
\asymp	≍
\defas	⧋
\:hushed:	😯
\times	×
\wr	≀
\ss	ß
\:umbrella:	☔
\upOmicron	Ο
\:arrow_backward:	◀
\suphsub	⫗
\:diamond_shape_with_a_dot_inside:	💠
\intcap	⨙
\circleurquad	◷
\gtcc	⪧
\:scroll:	📜
\:leaves:	🍃
\:shower:	🚿
\:sparkle:	❇
\droang	̚
\:potted_plant:	🪴
\:yawning_face:	🥱
\leftarrowbackapprox	⭂
\nvdash	⊬
\biv	𝒗
\bfTheta	𝚯
\bisansm	𝙢
\dotsminusdots	∺
\:sparkler:	🎇
\oiiint	∰
\:mirror:	🪞
\scrV	𝒱
\questiondown	¿
\:face_palm:	🤦
\itN	𝑁
\:icecream:	🍦
\:jeans:	👖
\ttA	𝙰
\sansfive	𝟧
\succneq	⪲
\:wilted_flower:	🥀
\:dress:	👗
\ttk	𝚔
\bfrakd	𝖉
\:place_of_worship:	🛐
\underleftrightarrow	͍
\:ok_hand:	👌
\ttQ	𝚀
\intercal	⊺
\bbs	𝕤
\emptysetoarrl	⦴
\:bee:	🐝
\:aerial_tramway:	🚡
\ntrianglelefteq	⋬
\bigvee	⋁
\minus	−
\scrL	ℒ
\bfp	𝐩
\submult	⫁
\:peanuts:	🥜
\fourthroot	∜
\:coin:	🪙
\bisansQ	𝙌
\lsime	⪍
\:twisted_rightwards_arrows:	🔀
\dshfnc	┆
\blackcircledrightdot	⚈
\:love_hotel:	🏩
\bsansXi	𝝣
\scorpio	♏
\upharpoonright	↾
\ttx	𝚡
\:clock5:	🕔
\:date:	📅
\:dart:	🎯
\:dragon:	🐉
\:performing_arts:	🎭
\sansm	𝗆
\:clock12:	🕛
\bsansvartheta	𝞋
\:heartpulse:	💗
\sqfr	◨
\increment	∆
\bftwo	𝟐
\:runner:	🏃
\leftrightharpoonsup	⥦
\fraky	𝔶
\:link:	🔗
\bisanstau	𝞽
\1/5	⅕
\otimeshat	⨶
\bsansNu	𝝢
\coprod	∐
\sansF	𝖥
\dblarrowupdown	⇅
\isanst	𝘵
\:no_entry:	⛔
\^epsilon	ᵋ
\cupdot	⊍
\:test_tube:	🧪
\:white_medium_square:	◻
\scurel	⊱
\:ramen:	🍜
\xrat	℞
\triangleminus	⨺
\:camera_with_flash:	📸
\ddot	̈
\hexagonblack	⬣
\blacklefthalfcircle	◖
\:sparkling_heart:	💖
\isansR	𝘙
\scrA	𝒜
\:bow:	🙇
\:eight_pointed_black_star:	✴
\:frowning:	😦
\bigcap	⋂
\bibeta	𝜷
\:money_with_wings:	💸
\gesles	⪔
\:tokyo_tower:	🗼
\hlmrk	ˑ
\Upsilon	Υ
\arceq	≘
\:receipt:	🧾
\LeftUpDownVector	⥑
\:lizard:	🦎
\sanse	𝖾
\:ab:	🆎
\ltimes	⋉
\bbseven	𝟟
\leftrightarrow	↔
\^P	ᴾ
\rightarrowbackapprox	⭈
\:person_with_pouting_face:	🙎
\varspadesuit	♤
\Mapsto	⤇
\:fencer:	🤺
\:accept:	🉑
\bivarpi	𝝕
\:crocodile:	🐊
\:heavy_check_mark:	✔
\mid	∣
\varisinobar	⋶
\sansT	𝖳
\bfU	𝐔
\bivarrho	𝝔
\:parachute:	🪂
\sqfnw	┙
\isansD	𝘋
\:right-facing_fist:	🤜
\^=	⁼
\:ideograph_advantage:	🉐
\swarrow	↙
\bar	̄
\bfrako	𝖔
\rtlt	ʈ
\biQ	𝑸
\invnot	⌐
\:bagel:	🥯
\biK	𝑲
\:fairy:	🧚
\subseteq	⊆
\squareneswfill	▨
\isansT	𝘛
\:scream_cat:	🙀
\:waving_black_flag:	🏴
\LeftRightVector	⥎
\bfrakW	𝖂
\ittheta	𝜃
\gtreqqless	⪌
\Bot	⫫
\:sunrise_over_mountains:	🌄
\isansr	𝘳
\Longleftrightarrow	⟺
\vdots	⋮
\bigbot	⟘
\:yo-yo:	🪀
\:cheese_wedge:	🧀
\:hatching_chick:	🐣
\varbarwedge	⌅
\bisansRho	𝞠
\bisansepsilon	𝟄
\:train:	🚋
\:coat:	🧥
\:jigsaw:	🧩
\:envelope_with_arrow:	📩
\mapsup	↥
\scrz	𝓏
\:beetle:	🪲
\:clock6:	🕕
\_9	₉
\:bug:	🐛
\bisansv	𝙫
\Lleftarrow	⇚
\:bike:	🚲
\nearrow	↗
\:rice_ball:	🍙
\:musical_note:	🎵
\:underage:	🔞
\varnis	⋻
\:rocket:	🚀
\:grimacing:	😬
\bfy	𝐲
\backpprime	‶
\th	þ
\:snowman:	⛄
\bscrZ	𝓩
\frakT	𝔗
\:cockroach:	🪳
\:kissing_cat:	😽
\Searrow	⇘
\tte	𝚎
\:sound:	🔉
\bfrakz	𝖟
\breve	̆
\angleubar	⦤
\hatapprox	⩯
\:koala:	🐨
\closedvarcupsmashprod	⩐
\succeq	⪰
\itq	𝑞
\nwovnearrow	⤲
\:woozy_face:	🥴
\isansQ	𝘘
\:pinched_fingers:	🤌
\bsansfive	𝟱
\suphsol	⟉
\:roller_skate:	🛼
\plushat	⨣
\bisansZ	𝙕
\^L	ᴸ
\int	∫
\curlyeqprec	⋞
\rightarrowplus	⥅
\sansY	𝖸
\bsansrho	𝞀
\:cop:	👮
\:mahjong:	🀄
\bscrv	𝓿
\bscrW	𝓦
\neovsearrow	⤮
\:watermelon:	🍉
\:virgo:	♍
\:person_doing_cartwheel:	🤸
\:tiger:	🐯
\:leopard:	🐆
\UpArrowBar	⤒
\bfAlpha	𝚨
\:bison:	🦬
\:tropical_drink:	🍹
\bfs	𝐬
\:cloud:	☁
\itpsi	𝜓
\^+	⁺
\:probing_cane:	🦯
\:nut_and_bolt:	🔩
\lgE	⪑
\bffive	𝟓
\trnh	ɥ
\boxbslash	⧅
\equalparallel	⋕
\cirfnint	⨐
\biz	𝒛
\bbi	𝕚
\bisansvarkappa	𝟆
\itepsilon	𝜖
\nLeftrightarrow	⇎
\itomega	𝜔
\hrectangle	▭
\bbM	𝕄
\:closed_book:	📕
\bfX	𝐗
\:eagle:	🦅
\precnapprox	⪹
\:soap:	🧼
\:running_shirt_with_sash:	🎽
\:older_adult:	🧓
\precapprox	⪷
\pentagonblack	⬟
\curvearrowright	↷
\:movie_camera:	🎥
\sansi	𝗂
\:arrow_up_small:	🔼
\:spades:	♠
\blacktriangledown	▾
\:pushpin:	📌
\squoval	▢
\:rabbit:	🐰
\sqsubset	⊏
\underrightharpoondown	⃬
\:floppy_disk:	💾
\:information_source:	ℹ
\itPhi	𝛷
\:man:	👨
\biJ	𝑱
\bisansOmega	𝞨
\:accordion:	🪗
\bin	𝒏
\bsansJ	𝗝
\:stuck_out_tongue:	😛
\:dango:	🍡
\smblklozenge	⬪
\trapezium	⏢
\bullseye	◎
\:genie:	🧞
\scro	ℴ
\:teapot:	🫖
\leftrightsquigarrow	↭
\^t	ᵗ
\Sigma	Σ
\:no_entry_sign:	🚫
\longmapsto	⟼
\bbnine	𝟡
\:new:	🆕
\itdelta	𝛿
\virgo	♍
\:1234:	🔢
\isansL	𝘓
\boxast	⧆
\bfUpsilon	𝚼
\csupe	⫒
\drbkarrow	⤐
\bfrakY	𝖄
\bscrl	𝓵
\ell	ℓ
\:interrobang:	⁉
\:japanese_goblin:	👺
\sansN	𝖭
\:zany_face:	🤪
\:wink:	😉
\tau	τ
\bsanse	𝗲
\sanszero	𝟢
\twoheadleftarrow	↞
\:bricks:	🧱
\Uparrow	⇑
\bfeight	𝟖
\rightdasharrow	⇢
\sanst	𝗍
\bisansu	𝙪
\isansz	𝘻
\sansO	𝖮
\nolinebreak	⁠
\rangle	⟩
\:art:	🎨
\:soon:	🔜
\:cry:	😢
\libra	♎
\:mountain_bicyclist:	🚵
\Lambda	Λ
\esh	ʃ
\:rolling_on_the_floor_laughing:	🤣
\sqsupseteq	⊒
\:moon_cake:	🥮
\_r	ᵣ
\tieconcat	⁀
\:bowling:	🎳
\bsansm	𝗺
\supseteqq	⫆
\csup	⫐
\Rdsh	↳
\varveebar	⩡
\bfrakx	𝖝
\bilambda	𝝀
\k	̨
\:dumpling:	🥟
\nparallel	∦
\^n	ⁿ
\conictaper	⌲
\biBeta	𝜝
\:confused:	😕
\:black_joker:	🃏
\:partying_face:	🥳
\scrw	𝓌
\ttthree	𝟹
\bix	𝒙
\mdwhtcircle	⚪
\bisansrho	𝞺
\dotsim	⩪
\coloneq	≔
\pisces	♓
\:smiley_cat:	😺
\:white_check_mark:	✅
\preceqq	⪳
\bscrz	𝔃
\RightVectorBar	⥓
\vysmblksquare	⬝
\bfnine	𝟗
\:prince:	🤴
\sansf	𝖿
\upharpoonleft	↿
\sansl	𝗅
\itChi	𝛸
\^U	ᵁ
\:shrug:	🤷
\bisansI	𝙄
\biIota	𝜤
\:person_with_headscarf:	🧕
\bisansdelta	𝞭
\:yellow_heart:	💛
\frakw	𝔴
\bisansKappa	𝞙
\bfIota	𝚰
\:skateboard:	🛹
\:four_leaf_clover:	🍀
\rtll	ɭ
\bim	𝒎
\sout	̶
\precsim	≾
\invw	ʍ
\^E	ᴱ
\:tanabata_tree:	🎋
\upkoppa	ϟ
\bsansOmega	𝝮
\isansH	𝘏
\:cherries:	🍒
\:notebook:	📓
\notin	∉
\frakl	𝔩
\:custard:	🍮
\:arrow_lower_left:	↙
\:seal:	🦭
\:nesting_dolls:	🪆
\_beta	ᵦ
\sansR	𝖱
\:pancakes:	🥞
\:memo:	📝
\prime	′
\biH	𝑯
\itomicron	𝜊
\:last_quarter_moon:	🌗
\Angstrom	Å
\isansh	𝘩
\cdot	⋅
\blockuphalf	▀
\leftthreearrows	⬱
\bid	𝒅
\rtimes	⋊
\bisansvarTheta	𝞡
\:slot_machine:	🎰
\circledtwodots	⚇
\nmid	∤
\sansnine	𝟫
\trianglecdot	◬
\bfZeta	𝚭
\^j	ʲ
\bsansh	𝗵
\:womans_flat_shoe:	🥿
\ldots	…
\scrx	𝓍
\DownLeftVectorBar	⥖
\Supset	⋑
\mdblklozenge	⬧
\itvarsigma	𝜍
\:bamboo:	🎍
\bif	𝒇
\pgamma	ɣ
\midbarvee	⩝
\:part_alternation_mark:	〽
\RightUpDownVector	⥏
\:swan:	🦢
\:mate_drink:	🧉
\:sandal:	👡
\:baseball:	⚾
\bfH	𝐇
\bscrh	𝓱
\upharpoonsleftright	⥣
\varpi	ϖ
\:tulip:	🌷
\circledast	⊛
\smalltriangleright	▹
\:black_small_square:	▪
\:airplane_arriving:	🛬
\:zipper_mouth_face:	🤐
\^beta	ᵝ
\bigtop	⟙
\bipi	𝝅
\frakh	𝔥
\:waning_gibbous_moon:	🌖
\:triangular_ruler:	📐
\_chi	ᵪ
\scrf	𝒻
\sqfse	◪
\rightharpoonupdash	⥬
\^a	ᵃ
\^v	ᵛ
\bisansV	𝙑
\:octagonal_sign:	🛑
\:articulated_lorry:	🚛
\eqsim	≂
\:ski:	🎿
\whiteinwhitetriangle	⟁
\pupsil	ʊ
\:straight_ruler:	📏
\tona	⤧
\isansw	𝘸
\nsqsubseteq	⋢
\lesdot	⩿
\scrl	𝓁
\bbO	𝕆
\:tumbler_glass:	🥃
\therefore	∴
\leftarrowtail	↢
\scre	ℯ
\smallni	∍
\iti	𝑖
\measuredangle	∡
\bfrakK	𝕶
\LeftTeeVector	⥚
\bisansvarphi	𝞿
\sansk	𝗄
\:night_with_stars:	🌃
\:dizzy_face:	😵
\scrr	𝓇
\:cookie:	🍪
\:inbox_tray:	📥
\reglst	ʕ
\biW	𝑾
\bsansnine	𝟵
\intprod	⨼
\frakn	𝔫
\:cow:	🐮
\whitepointerleft	◅
\^A	ᴬ
\:lion_face:	🦁
\scrF	ℱ
\:bowl_with_spoon:	🥣
\3/8	⅜
\:cat2:	🐈
\rtlr	ɽ
\subsub	⫕
\frakz	𝔷
\strns	⏤
\gtrsim	≳
\uparrowbarred	⤉
\bidelta	𝜹
\:mango:	🥭
\adots	⋰
\downdasharrow	⇣
\dh	ð
\:loudspeaker:	📢
\:monorail:	🚝
\gla	⪥
\:spaghetti:	🍝
\:hatched_chick:	🐥
\:sunrise:	🌅
\bfthree	𝟑
\:woman:	👩
\mdsmwhtcircle	⚬
\bfEta	𝚮
\eqdot	⩦
\biPsi	𝜳
\ittau	𝜏
\:man_with_turban:	👳
\:ladybug:	🐞
\:bullettrain_front:	🚅
\:sloth:	🦥
\oiint	∯
\bbS	𝕊
\:scissors:	✂
\searrow	↘
\nvtwoheadrightarrow	⤀
\:hankey:	💩
\:carrot:	🥕
\bfrakj	𝖏
\biDelta	𝜟
\:fly:	🪰
\scrh	𝒽
\diceii	⚁
\:clinking_glasses:	🥂
\cirfl	◐
\:doughnut:	🍩
\:e-mail:	📧
\frakV	𝔙
\longleftsquigarrow	⬳
\:feather:	🪶
\:dog2:	🐕
\bic	𝒄
\boxdiag	⧄
\:face_with_rolling_eyes:	🙄
\itKappa	𝛫
\:grey_exclamation:	❕
\:ear_of_rice:	🌾
\linefeed	↴
\ttJ	𝙹
\bisanseta	𝞰
\varsigma	ς
\bfrakO	𝕺
\dyogh	ʤ
\:scream:	😱
\mdblksquare	◼
\:japanese_ogre:	👹
\scrB	ℬ
\:large_green_circle:	🟢
\sqrint	⨖
\bipartial	𝝏
\:badminton_racquet_and_shuttlecock:	🏸
\:fishing_pole_and_fish:	🎣
\nu	ν
\leftrightharpoons	⇋
\:weary:	😩
\ddots	⋱
\:brown_heart:	🤎
\flat	♭
\itTheta	𝛩
\sansu	𝗎
\lnapprox	⪉
\npolint	⨔
\bisansiota	𝞲
\bscre	𝓮
\:u7a7a:	🈳
\astrosun	☉
\:milky_way:	🌌
\:m:	Ⓜ
\:abacus:	🧮
\:snowboarder:	🏂
\simplus	⨤
\:capricorn:	♑
\scrS	𝒮
\bsansEpsilon	𝝚
\:maple_leaf:	🍁
\bisansEpsilon	𝞔
\:pisces:	♓
\:chart_with_downwards_trend:	📉
\upvarbeta	ϐ
\bisansomicron	𝞸
\mdlgblkcircle	●
\:evergreen_tree:	🌲
\RightDownVectorBar	⥕
\odiv	⨸
\late	⪭
\bscrt	𝓽
\odotslashdot	⦼
\sansD	𝖣
\bbq	𝕢
\indep	⫫
\isinobar	⋷
\bsansepsilon	𝞊
\eqeqeq	⩶
\:satellite:	📡
\neuter	⚲
\:stuffed_flatbread:	🥙
\:sparkles:	✨
\:sushi:	🍣
\:safety_vest:	🦺
\frakH	ℌ
\squareulblack	◩
\:seedling:	🌱
\isansn	𝘯
\leftharpoonsupdown	⥢
\:mailbox:	📫
\:monkey_face:	🐵
\:mouse2:	🐁
\geqslant	⩾
\^c	ᶜ
\:sandwich:	🥪
\:canned_food:	🥫
\awint	⨑
\LeftDownVectorBar	⥙
\bisanspsi	𝟁
\veeeq	≚
\itPi	𝛱
\nsucceq	⪰̸
\obslash	⦸
\bsansvarsigma	𝞁
\^K	ᴷ
\:scorpius:	♏
\:crown:	👑
\squarellquad	◱
\bfR	𝐑
\:clock1:	🕐
\bisansPhi	𝞥
\:partly_sunny:	⛅
\vartriangleright	⊳
\bisansBeta	𝞑
\nsupseteqq	⫆̸
\bisansUpsilon	𝞤
\:cut_of_meat:	🥩
\:supervillain:	🦹
\subsup	⫓
\:face_with_hand_over_mouth:	🤭
\:tongue:	👅
\NestedLessLess	⪡
\o	ø
\bixi	𝝃
\triangleright	▷
\:walking:	🚶
\bfw	𝐰
\bbE	𝔼
\geq	≥
\ttS	𝚂
\urarc	◝
\bbL	𝕃
\bfKappa	𝚱
\rightarrowtail	↣
\diceiii	⚂
\bis	𝒔
\^chi	ᵡ
\multimap	⊸
\Delta	Δ
\:space_invader:	👾
\leqqslant	⫹
\Rho	Ρ
\bfh	𝐡
\:large_brown_square:	🟫
\bfj	𝐣
\topsemicircle	◠
\itpartial	𝜕
\:black_square_button:	🔲
\highminus	¯
\LeftDownTeeVector	⥡
\ttt	𝚝
\:house_with_garden:	🏡
\itR	𝑅
\nvLeftarrow	⤂
\bisansZeta	𝞕
\circlearrowright	↻
\frakZ	ℨ
\bfrakT	𝕿
\scrp	𝓅
\:sweat_smile:	😅
\sansX	𝖷
\:wave:	👋
\bscrG	𝓖
\succnsim	⋩
\bfn	𝐧
\bsanssigma	𝞂
\:call_me_hand:	🤙
\bsansPhi	𝝫
\isansk	𝘬
\:cupcake:	🧁
\bsansw	𝘄
\:large_purple_square:	🟪
\:turkey:	🦃
\quad	 
\eqqgtr	⪚
\bfI	𝐈
\:sleeping:	😴
\ity	𝑦
\ltln	ɲ
\:sun_with_face:	🌞
\RightTriangleBar	⧐
\:lacrosse:	🥍
\:menorah_with_nine_branches:	🕎
\:customs:	🛃
\Subset	⋐
\:flying_disc:	🥏
\:camera:	📷
\:bath:	🛀
\Rlarr	⥂
\:flags:	🎏
\:arrow_up:	⬆
\leftmoon	☾
\:mailbox_with_mail:	📬
\_+	₊
\:alarm_clock:	⏰
\:mobile_phone_off:	📴
\bfY	𝐘
\:signal_strength:	📶
\nleq	≰
\:no_smoking:	🚭
\:office:	🏢
\biPhi	𝜱
\pprime	″
\bfO	𝐎
\vee	∨
\bivarkappa	𝝒
\frakv	𝔳
\:avocado:	🥑
\RightTeeVector	⥛
\:last_quarter_moon_with_face:	🌜
\ttR	𝚁
\:synagogue:	🕍
\:hindu_temple:	🛕
\rightharpoonup	⇀
\:star-struck:	🤩
\:pig:	🐷
\:couple_with_heart:	💑
\upand	⅋
\geqq	≧
\itB	𝐵
\rmoustache	⎱
\u	˘
\bbpi	ℼ
\intBar	⨎
\Epsilon	Ε
\1/10	⅒
\:convenience_store:	🏪
\leftrightharpoondownup	⥋
\rightharpoonaccent	⃑
\itJ	𝐽
\:bucket:	🪣
\RightDownTeeVector	⥝
\bisansw	𝙬
\:broccoli:	🥦
\mu	μ
\sansI	𝖨
\:paperclip:	📎
\1/7	⅐
\:open_file_folder:	📂
\diamondrightblack	⬗
\:parking:	🅿
\bfx	𝐱
\:large_purple_circle:	🟣
\exclamdown	¡
\biRho	𝜬
\gneq	⪈
\:clock1030:	🕥
\:postbox:	📮
\itn	𝑛
\curvearrowleft	↶
\nlesssim	≴
\frakp	𝔭
\mercury	☿
\bscrF	𝓕
\isansW	𝘞
\le	≤
\:city_sunrise:	🌇
\leftcurvedarrow	⬿
\tttwo	𝟸
\bfD	𝐃
\:curry:	🍛
\:droplet:	💧
\bfupsilon	𝛖
\hermaphrodite	⚥
\:hourglass_flowing_sand:	⏳
\:ladder:	🪜
\ulcorner	⌜
\hbar	ħ
\itZ	𝑍
\varepsilon	ε
\tty	𝚢
\bsansTau	𝝩
\intprodr	⨽
\bsimilarrightarrow	⭇
\downarrow	↓
\eulermascheroni	ℇ
\:stuck_out_tongue_closed_eyes:	😝
\:handshake:	🤝
\:point_left:	👈
\downarrowbarred	⤈
\:disappointed_relieved:	😥
\:shrimp:	🦐
\leq	≤
\sansC	𝖢
\:bookmark:	🔖
\:trophy:	🏆
\parallel	∥
\squarehfill	▤
\scru	𝓊
\bsansSigma	𝝨
\PropertyLine	⅊
\leftleftarrows	⇇
\nvDash	⊭
\frakm	𝔪
\:amphora:	🏺
\bsansphi	𝞍
\:leftwards_arrow_with_hook:	↩
\:bicyclist:	🚴
\bbc	𝕔
\:boat:	⛵
\updasharrow	⇡
\bisansP	𝙋
\:drooling_face:	🤤
\bsansx	𝘅
\^-	⁻
\:spoon:	🥄
\:kissing_heart:	😘
\sansz	𝗓
\bfRho	𝚸
\ttZ	𝚉
\:circus_tent:	🎪
\oplus	⊕
\uminus	⩁
\ttV	𝚅
\itH	𝐻
\updownarrow	↕
\itG	𝐺
\sansW	𝖶
\cup	∪
\ringplus	⨢
\lsimg	⪏
\ttone	𝟷
\itm	𝑚
\:triumph:	😤
\Or	⩔
\lsqhook	⫍
\rdiagovsearrow	⤰
\bscrp	𝓹
\bbr	𝕣
\tesh	ʧ
\bbP	ℙ
\scrG	𝒢
\trianglerighteq	⊵
\:nerd_face:	🤓
\emptysetocirc	⦲
\Coloneq	⩴
\:turtle:	🐢
\euler	ℯ
\:new_moon_with_face:	🌚
\AA	Å
\frakj	𝔧
\bfalpha	𝛂
\bfB	𝐁
\exists	∃
\:fearful:	😨
\:key:	🔑
\bscrJ	𝓙
\Uuparrow	⤊
\:pill:	💊
\biMu	𝜧
\bsansomicron	𝝾
\thickspace	 
\endash	–
\bisansvartheta	𝟅
\ttl	𝚕
\:pencil2:	✏
\bsansQ	𝗤
\bizeta	𝜻
\bsansvarTheta	𝝧
\bbsemi	⨟
\gesdoto	⪂
\:foggy:	🌁
\:diya_lamp:	🪔
\:flatbread:	🫓
\:hibiscus:	🌺
\smt	⪪
\scrP	𝒫
\bscrb	𝓫
\:necktie:	👔
\trna	ɐ
\:orange_heart:	🧡
\veedot	⟇
\wideangledown	⦦
\bisanse	𝙚
\bby	𝕪
\nor	⊽
\subsetdot	⪽
\turnediota	℩
\:telephone_receiver:	📞
\bscrj	𝓳
\scrD	𝒟
\frakP	𝔓
\:palms_up_together:	🤲
\:lollipop:	🍭
\:heart:	❤
\tripleplus	⧻
\vertoverlay	⃒
\:dancers:	👯
\nabla	∇
\:iphone:	📱
\Cup	⋓
\propto	∝
\rtln	ɳ
\bfPsi	𝚿
\:libra:	♎
\ite	𝑒
\:no_bicycles:	🚳
\biomega	𝝎
\bbij	ⅉ
\rq	’
\bsansy	𝘆
\leftarrowsubset	⥺
